x1,x2,x3,ensemble_ei,ensemble_mu_mean_model,ensemble_sigma_mean_model,ensemble_mu_std_model,ensemble_mu_mean_original_approx
0.6072844536975026,0.5899109588935971,0.40765431616455317,1.2051681303458342e-23,-0.021181265630656764,0.013219408131815298,0.017870657633902946,-0.021181265630656764
0.6674979012459517,0.5831811688840389,0.4057515421882272,4.2738361162572566e-23,-0.021300144736756236,0.014282287372761113,0.01738613098301957,-0.021300144736756236
0.64570954721421,0.597024442628026,0.4027236560359597,3.216505502074818e-17,-0.021300202747961676,0.01497326916849332,0.017408383674100955,-0.021300202747961676
0.7225012825801969,0.589724825695157,0.4023866271600127,2.5978830624249156e-22,-0.021314430024766944,0.015396498351389877,0.016676773673382148,-0.021314430024766944
0.5228458009660244,0.5909278187900782,0.4046272849664092,7.697154710252729e-23,-0.021320689334278508,0.01521079267245191,0.017651262556568428,-0.021320689334278508
0.6873382572084665,0.5900981817394495,0.40077352337539196,4.893094906167886e-22,-0.021363673691185657,0.0155717507449425,0.01647523348950494,-0.021363673691185657
0.5929835205897689,0.5818540491163731,0.40344603452831507,1.50073636568694e-22,-0.021394134081103515,0.015092883078543326,0.017212270980688515,-0.021394134081103515
0.5952430013567209,0.5992684010416269,0.404534206725657,1.3839968249325636e-15,-0.02141154256279459,0.014381516131891535,0.018001459176484262,-0.02141154256279459
0.649812612682581,0.5887961955741048,0.4093532869592309,4.253784881298841e-24,-0.021430021366294554,0.012687451203100202,0.017907960036700615,-0.021430021366294554
0.7043287148699164,0.5821561990305781,0.40660063084214926,2.579379973824436e-23,-0.021501364139748392,0.014372431954277181,0.01741460113130656,-0.021501364139748392
0.48700603749603033,0.5889738416299224,0.40693775098770857,1.8302545301456482e-23,-0.021595681274898207,0.014730603754009973,0.018119900901855477,-0.021595681274898207
0.8052467070519924,0.5878815781325102,0.4040337195619941,1.24091551671279e-22,-0.021597299246341236,0.015387416400562603,0.01676696781841769,-0.021597299246341236
0.49895163625478745,0.5963629260659218,0.4062285302206874,8.476712780992721e-18,-0.02164189420164354,0.014725572546512846,0.018325578921064272,-0.02164189420164354
0.5736316768452525,0.5886165965348482,0.3986587505787611,9.036558558834028e-22,-0.021670633698827987,0.01596279110357145,0.01625551977883498,-0.021670633698827987
